"","sub_num","run_num","file_name","trial_num","rt","response","t_direction","accuracy","target_position_1","target_position_2","target_position_3","target_position_4","target_location_type","target_number","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","extraTargetShapeNumber","extraTargetShapePosition","extraTargetShapeType"
"712",2,7,"Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg",3,1186,"z","L",1,1230,912,1335.6,1017.6,2,5,0,0,0,0,0
"713",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg",4,762,"/?","R",1,1334,548,1439.6,653.6,3,11,0,0,0,0,0
"714",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7027760.jpg",5,925,"z","L",1,562,838,667.6,943.6,3,4,1,1,11,4,2
"715",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312078.jpg",6,1216,"/?","R",1,840,302,945.6,407.6,1,14,0,1,11,3,3
"716",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg",7,983,"/?","R",1,246,756,351.6,861.6,3,11,0,0,0,0,0
"717",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312077.jpg",8,913,"z","L",1,488,900,593.6,1005.6,2,5,0,0,0,0,0
"718",2,7,"Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg",9,980,"/?","R",1,938,444,1043.6,549.6,1,14,0,1,5,1,3
"719",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4469153.jpg",10,1053,"z","L",1,546,392,651.6,497.6,1,4,1,0,0,0,0
"720",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg",11,2019,"z","L",1,290,744,395.6,849.6,3,11,0,1,14,1,3
"721",2,7,"Stimuli\scenes\mainScenes\pexels-get-lost-mike-8504308.jpg",12,925,"z","L",1,360,946,465.6,1051.6,2,5,0,0,0,0,0
"722",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-15062099.jpg",13,1032,"/?","R",1,1444,918,1549.6,1023.6,2,4,0,0,0,0,0
"723",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg",14,870,"z","L",1,936,544,1041.6,649.6,3,11,0,1,4,4,2
"724",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-6835079.jpg",15,876,"z","L",1,508,344,613.6,449.6,1,14,0,0,0,0,0
"725",2,7,"Stimuli\scenes\mainScenes\AdobeStock_27579147.jpeg",16,961,"z","L",1,1454,832,1559.6,937.6,2,5,0,1,4,3,3
"726",2,7,"Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg",17,1227,"/?","R",1,1320,526,1425.6,631.6,3,14,1,1,4,4,1
"727",2,7,"Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg",18,2363,"/?","R",1,586,514,691.6,619.6,3,11,0,0,0,0,0
"728",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4469155.jpg",19,878,"z","L",1,1606,894,1711.6,999.6,2,4,0,1,11,3,3
"729",2,7,"Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg",20,1122,"/?","R",1,374,744,479.6,849.6,3,5,1,0,0,0,0
"730",2,7,"Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg",21,909,"z","L",1,604,550,709.6,655.6,3,11,0,0,0,0,0
"731",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg",22,784,"/?","L",0,1612,834,1717.6,939.6,2,4,0,0,0,0,0
"732",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6969864.jpg",23,966,"z","L",1,1630,966,1735.6,1071.6,2,5,0,1,11,2,1
"733",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg",24,958,"z","L",1,646,522,751.6,627.6,1,14,0,1,4,3,2
"734",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-15409439.jpg",25,754,"z","L",1,684,694,789.6,799.6,2,4,0,0,0,0,0
"735",2,7,"Stimuli\scenes\mainScenes\pexels-denys-gromov-4716789.jpg",26,738,"z","L",1,644,898,749.6,1003.6,2,14,1,0,0,0,0
"736",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg",27,1100,"/?","R",1,214,912,319.6,1017.6,2,11,1,1,4,3,1
"737",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg",28,681,"/?","R",1,680,516,785.6,621.6,2,5,0,1,4,4,1
"738",2,7,"Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg",29,1285,"z","L",1,1628,892,1733.6,997.6,2,4,0,0,0,0,0
"739",2,7,"Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg",30,1394,"/?","R",1,1518,212,1623.6,317.6,1,14,0,0,0,0,0
"740",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-8082201.jpg",31,1050,"/?","R",1,34,900,139.6,1005.6,2,5,0,0,0,0,0
"741",2,7,"Stimuli\scenes\mainScenes\080_L_filler_absent_plant.jpg",32,1056,"/?","R",1,478,904,583.6,1009.6,2,11,1,0,0,0,0
"742",2,7,"Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg",33,1061,"z","L",1,1662,802,1767.6,907.6,3,4,1,1,11,2,1
"743",2,7,"Stimuli\scenes\mainScenes\AdobeStock_106076039.jpeg",34,1191,"z","L",1,32,230,137.6,335.6,1,14,0,1,5,3,3
"744",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-8583892.jpg",35,952,"/?","R",1,324,542,429.6,647.6,3,11,0,1,14,4,1
"745",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-10827337.jpg",36,930,"z","L",1,648,914,753.6,1019.6,2,5,0,1,4,4,1
"746",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-3935337.jpg",37,1237,"/?","R",1,948,188,1053.6,293.6,1,14,0,0,0,0,0
"747",2,7,"Stimuli\scenes\mainScenes\pexels-curtis-adams-5353944.jpg",38,1268,"z","L",1,1716,554,1821.6,659.6,3,4,1,1,5,4,1
"748",2,7,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg",39,824,"z","L",1,1012,942,1117.6,1047.6,2,5,0,0,0,0,0
